description,courseNumber,departmentCode,courseTitle,avg_gpa,A_rate,B_rate,C_rate,D_rate,F_rate,W_rate,total_enrollment
"Emphasizes the use of accounting information for budgeting, planning and control, and decision making. Topics include integrated budgeting, variance analysis, job-order costing, activity-based costing, relevant costs for decision making, etc.",201,ACCT,"Cost Accounting I",2.39,17.00,28.00,27.00,10.00,9.00,12.00,3577
"In-depth analysis of legal principles and their relationship to commerce. Topics include areas of torts, constitutional law, contracts and government regulation.",248,ACCT,"Legal Environment",2.75,21.00,41.00,28.00,5.00,3.00,5.00,3211
"Emphasizes the use of accounting information for budgeting, planning and control, and decision making. Topics include integrated budgeting, variance analysis, job-order costing, activity-based costing, relevant costs for decision making, etc.",302,ACCT,"Cost Accounting I",2.96,32.00,36.00,19.00,3.00,4.00,7.00,839
"Detailed analysis of the accounting cycle. In-depth coverage of financial statements and account analysis. Classification, valuation and timing involved in the determination of income and asset/equity measurement. Special attention devoted to revenue recognition, tax, lease and pension transactions. Emphasis on comprehension, critical thinking and problem solving. Consideration of recent FASB pronouncements as well as structure and use of FASB's Accounting Standards Codification.",304,ACCT,"Intermediate Accounting I",2.32,14.00,31.00,20.00,20.00,5.00,13.00,888
"Continued emphasis on generation and presentation of financial statements through use of Business Activity Model. Special attention devoted to inventory valuation, analysis of long-term debt instruments, derivatives, asset impairment and share-based compensation. Emphasis on comprehension, critical thinking and problem solving.",305,ACCT,"Intermediate Accounting II",2.21,9.00,27.00,35.00,16.00,5.00,11.00,573
"Discussion of technical tax provisions as they pertain to individuals. Limited discussion of corporation and partnership tax issues. Introduction to tax research. Introduction to use and completion of IRS forms. This course, along with successful participation in the VITA program through ACCT 490, qualifies for elective ABLE credit.",341,ACCT,"Federal Income Tax Accounting: Personal",2.71,23.00,34.00,28.00,6.00,4.00,8.00,730
"Examination of the role of accounting information in the organization. Major topics include users of accounting information, goals and objectives, review of accounting systems, the human component, hardware, software, data, operating controls and management controls.",420,ACCT,"Accounting Information Systems",3.24,45.00,34.00,16.00,1.00,2.00,5.00,600
"Wide-ranging introduction to the visual arts that focuses primarily on the art and architecture of Western Civilization. Topics include art theory, visual perception, subject matter and content, art-making media and techniques, the creative process and the relation of art to its historical and cultural context. For non-majors only. Does not fulfill any requirements for art majors, art minors or art history minors.",104,ART,"Art Appreciation",2.94,34.00,37.00,15.00,5.00,5.00,6.00,1549
"Introduction to and development of knowledge and comprehension of the underlying principles of visual composition, through the creation of designs. Bulk supplies are provided, but students need to furnish some materials.",121,ART,"Design Principles",3.36,56.00,28.00,7.00,2.00,5.00,6.00,1117
"Introductory-level course designed to explore fundamentals of composition using digital photography and related support technology. Stresses the application of the elements of design and principles of composition through traditional photographic assignments and is appropriate for non-art majors, art minors and art majors in all tracks except photography. Instruction includes use of a digital camera and basic image manipulation programs. Students must provide their own cameras.",129,ART,"Introduction to Digital Photography",3.44,65.00,21.00,6.00,2.00,5.00,3.00,755
"Introduction to basic drawing principles, using a combination of black and white media in the exploration of linear and tonal elements. Students furnish their own materials. B.A. and B.F.A. core.",130,ART,"Drawing I",3.36,56.00,30.00,7.00,2.00,5.00,5.00,1293
"Chronological survey of art and architecture in western civilization, from prehistory to the present. Considers the style, subject matter and purposes of art in relation to its historical time period or culture. B.A. and B.F.A. core.",201,ART,"Introduction to Art History",2.60,24.00,34.00,21.00,8.00,9.00,7.00,949
