"Rhonda Michele",Hall,3.05,141,3.00,32.00,47.00,15.00,3.00,3.00,"Cost Accounting I Governmental and Not-For-Profit Accounting Introduction to Managerial Accounting"
"Julie E",Gittelman,2.62,1956,7.00,20.00,36.00,27.00,8.00,5.00,"Cost Accounting I International Accounting Introduction to Managerial Accounting"
"Margaret A",Stewart,2.75,1771,4.00,20.00,40.00,35.00,3.00,2.00,"Cost Accounting I Introduction to Managerial Accounting Legal Environment"
"Michael R.",Koval,2.79,1174,7.00,23.00,38.00,26.00,4.00,4.00,"Business Law Legal Environment"
"Charles R",Boster,2.91,850,8.00,30.00,36.00,20.00,5.00,4.00,"Cost Accounting I Introduction to Managerial Accounting"
"David J",Emerson,2.36,1263,13.00,15.00,31.00,22.00,17.00,6.00,"Advanced Accounting I Cost Accounting I Intermediate Accounting I Intermediate Accounting II"
"Kenneth J.",Smith,2.19,538,11.00,9.00,27.00,35.00,17.00,5.00,"Intermediate Accounting II"
"Michael A.",Schuldt,2.67,1195,9.00,25.00,32.00,25.00,8.00,6.00,"Cost Accounting I Federal Income Tax Accounting: Partnership and Corporation Federal Income Tax Accounting: Personal"
"Robert S.",Campbell,3.41,63,4.00,43.00,51.00,4.00,0.00,0.00,"Accounting Information Systems"
"Jefferson Parks",Boyer,3.15,194,2.00,48.00,32.00,11.00,4.00,6.00,"Art Appreciation"
"Sally M",Molenda,2.96,1135,4.00,32.00,41.00,17.00,4.00,4.00,"Art Appreciation Book Arts Design Principles"
"Dean A.",Peterson,3.43,475,3.00,63.00,26.00,5.00,1.00,5.00,"Advanced Digital Photography Digital Imaging Introduction to Digital Photography"
"Gary B",Brotman,3.49,59,4.00,53.00,41.00,2.00,2.00,0.00,"Drawing I Painting I"
"Jennifer M",Liston,2.77,953,4.00,30.00,35.00,19.00,8.00,7.00,"History of Greek and Roman Art History of Italian Renaissance Art History of Pre-Columbian Art International Field Study Introduction to Art History Northern Renaissance Art Special Topics in Art History"
"Marjorie R",Hill,3.74,109,3.00,77.00,17.00,5.00,0.00,0.00,"Ceramics I Pottery"
Karen,Bearman,3.61,135,3.00,72.00,19.00,6.00,1.00,2.00,"Ceramics I"
"Pamela J.",Olszewski,3.07,624,12.00,38.00,33.00,11.00,4.00,5.00,"Art Appreciation Digital Design and Layout Graphic Design I Graphic Design II"
"William A",Wolff,2.79,225,5.00,22.00,46.00,19.00,5.00,5.00,"Figure Sculpture Sculpture I"
"Jon M",Rees,3.31,127,8.00,53.00,28.00,7.00,2.00,5.00,"Glass I Sculpture I"
"Victoria R",Pass,2.51,255,8.00,22.00,28.00,28.00,9.00,8.00,"Art Since 1945 History of Graphic Design History of Modern Art to 1945 International Field Study Special Topics in Art History Women in Art"
"Jessica E",Cross,3.43,584,2.00,60.00,29.00,8.00,2.00,3.00,"Design Principles Drawing I Drawing II Printmaking: Etching Printmaking: Lithography Printmaking: Relief Printmaking: Silkscreen"
"Wanda J",Jester,2.02,233,3.00,5.00,28.00,39.00,20.00,8.00,"Fundamentals of Biology"
"Kumudini A",Munasinghe,2.24,1887,4.00,11.00,31.00,35.00,14.00,8.00,"Fundamentals of Biology Human Anatomy and Physiology II"
"Samuel B.",Geleta,2.89,366,4.00,33.00,35.00,19.00,6.00,5.00,"Biology Seminar Biology: Concepts and Methods Introduction to Plant Biology"
"Kimberly Johnson",Quillin,2.79,457,5.00,30.00,34.00,22.00,5.00,7.00,"Biology: Concepts and Methods Introduction to Biology: Evolution and Ecology"
"Mark J",Garcia,3.08,78,0.00,36.00,43.00,17.00,4.00,2.00,"Biology: Concepts and Methods"
"Edward Patrick",McDermott,3.02,1075,9.00,40.00,26.00,19.00,4.00,5.00,"Business and Society Employment Law Management and Organizational Behavior Negotiation Personal and Professional Development for Business"
"Wayne H.",Decker,3.16,326,13.00,34.00,42.00,11.00,0.00,3.00,"Applied Organizational Science Management and Organizational Behavior Personal and Professional Development for Business"
"Marvin O.","Brown Jr",3.28,2086,4.00,39.00,51.00,8.00,1.00,2.00,"Business and Society Human Resource Management Management and Organizational Behavior Negotiation Personal and Professional Development for Business"
"Robert Michael","La Chance Jr",2.98,1068,3.00,35.00,40.00,16.00,3.00,5.00,"Dispute Systems Design Foundations of Conflict and Conflict Resolution Practicum and Internship"
"Anita R.",Brown,2.33,968,11.00,18.00,26.00,26.00,11.00,11.00,"Advanced Experimental Chemistry II General Chemistry I Physical Chemistry I Physical Chemistry II Physical Science"
"Alison H",Dewald,2.54,1034,10.00,22.00,30.00,23.00,9.00,8.00,"Biochemistry I Biochemistry II Chemistry: A Humanistic Perspective General Chemistry I General Chemistry II"
"Stephen A.",Habay,2.15,1137,14.00,15.00,25.00,21.00,12.00,15.00,"Advanced Topics in Organic Chemistry General Chemistry I General Chemistry II Organic Chemistry I Organic Chemistry II"
Constance,Rue,3.64,474,1.00,73.00,22.00,5.00,0.00,2.00,"Fundamentals of Communication"
"Joan Bromhall",Kjeldsen,3.03,719,2.00,36.00,41.00,15.00,3.00,5.00,"Critical Thinking and Writing Fundamentals of Communication"
"Eric A",Jodlbauer,3.16,286,3.00,38.00,46.00,11.00,3.00,3.00,"Fundamentals of Communication"
"Melany C.",Trenary,3.48,1502,3.00,68.00,19.00,7.00,2.00,4.00,"Instructional Communication Instrutional Communication Interpersonal Communication Introduction to Human Communication Studies Relational Communication"
"Lori J.",DeWitt,3.32,704,1.00,50.00,37.00,10.00,2.00,2.00,"Communication Seminar Interpersonal Conflict Introduction to Human Communication Studies Rhetoric and Public Presentation"
"Nancy R",Tabor,3.62,34,0.00,77.00,15.00,6.00,0.00,3.00,"Rhetoric and Public Presentation"
"Frances L.",Kendall,3.18,95,3.00,32.00,53.00,14.00,0.00,0.00,"2D Animation Documentary Production Television Studio Production"
"Amanda Sue",Welch-Hamill,3.64,1403,2.00,72.00,22.00,5.00,1.00,2.00,"Acting I Business and Professional Communication Business and Professional Communications Communication Practicum Event Planning and Communication Fundamentals of Communication Journalism/Public Relations Practicum Small Group Discussion"
Dean,"De Fino",3.00,281,9.00,44.00,24.00,14.00,4.00,8.00,"Database Design and Implementation Introduction to Web Development Microcomputer Organization Programming Fundamentals"
"Marie S",Arvi,2.52,276,10.00,22.00,31.00,22.00,8.00,10.00,"Introduction to Computer Systems Programming Fundamentals"
Enyue,Lu,2.74,884,6.00,31.00,29.00,22.00,8.00,6.00,"Advanced Data Structures and Algorithm Analysis Computer Networks Computer Science I Computer Science II Network Security Programming Fundamentals"
"Donald E.",Spickler,2.34,1132,21.00,22.00,20.00,17.00,7.00,16.00,"Calculus I Calculus II College Algebra and Trigonometry Computer Graphics Computer Science I Computer Science II Cryptography Microcomputer Organization Programming Fundamentals Special Topics Theory of Computation"
Xiaohong,Wang,2.61,961,13.00,29.00,25.00,19.00,5.00,12.00,"Compiler Construction Computer Science I Computer Science II Internship OO Design Patterns and GUI/Event-Driven Programming Programming Fundamentals Software Engineering I Software Engineering II Systems Software"
"Victoria V.",Hutchinson,2.66,255,8.00,23.00,33.00,25.00,9.00,4.00,"Dance Appreciation Yoga"
"Mary V",Avara,3.78,586,4.00,85.00,7.00,3.00,1.00,2.00,"Ballet I Dance Company Jazz Dance Teaching Dance"
Sehba,Mahmood,3.54,137,3.00,58.00,37.00,3.00,1.00,0.00,"Collaboration and Cooperation in Early Childhood Communities Developing the Young Child Learning and Assesment Play and Creativity in Early Childhood Education"
"Patricia K.",Dean,3.90,732,1.00,93.00,5.00,2.00,0.00,1.00,"Childrens Literature Collaboration and Cooperation in Early Childhood Communities Integrated Reading and Language Arts Grades K-3 Integrating Early Childhood Curriculum Introduction to Teaching Language Arts Instruction Language, Literacy and Play Literature for Children Teaching Social Studies in Early Childhood Classrooms"
Chin-Hsiu,Chen,3.67,355,1.00,71.00,25.00,4.00,0.00,1.00,"Discovery Through Interdisciplinary Studies Play and Creativity in Early Childhood Education Teaching Science in Elementary Classrooms Teaching Social Studies in Early Childhood Classrooms Teaching Social Studies in Elementary Classrooms"
"Randy L.",Bradford,2.06,491,6.00,8.00,31.00,31.00,12.00,15.00,"Principles of Microeconomics"
Hong,Yao,1.99,1078,9.00,9.00,24.00,32.00,17.00,13.00,"Intermediate Micro Theory Intermediate Microeconomics Labor Economics Principles of Microeconomics"
"Jamie D.",Emerson,2.31,716,13.00,20.00,23.00,23.00,12.00,12.00,"Econometrics Game Theory Intermediate Macro-Theory Principles of Microeconomics Quantitative Economics"
Jonathan,Munemo,2.64,1138,6.00,20.00,38.00,30.00,5.00,6.00,"Intermediate Macroeconomics International Economics Principles of Microeconomics Special Topics in Economics"
Nicholas,Busko,2.62,719,4.00,23.00,34.00,27.00,9.00,6.00,"Economic Development Industrial Organization Intermediate Micro Theory Principles of Environmental Economics Principles of Microeconomics Special Topics in Economics"
"Dustin L.",Chambers,2.84,986,2.00,22.00,46.00,27.00,3.00,2.00,"Econometrics Principles of Macroeconomics The Economics of Voluntary Exchange"
"Silvana S",Chambers,2.61,2449,5.00,20.00,38.00,27.00,7.00,6.00,"Business Microcomputer Use Directed Study in Economics Intermediate Macro-Theory Intermediate Macroeconomics Principles of Economics Principles of Macroeconomics Principles of Microeconomics"
"Keith J.",Conners,3.40,82,3.00,68.00,18.00,7.00,0.00,8.00,"Learning and Assesment"
"Paul L",Gasior,3.70,259,6.00,78.00,12.00,4.00,0.00,3.00,"Classroom Visitation Classroom Visitations Diversity and the Community Diversity and the Family Dual Certification Major Clinical Practice Early Childhood Education Clinical Practice I Early Childhood Education Clinical Practice II Elementary Education Clinical Practice I Elementary Education Clinical Practice II Internship II in Elementary Physical Education Internship II in Secondary Physical Education Internship in Middle or High School Education Introduction to Teaching"
"Laurie A.",Andes,3.99,166,2.00,97.00,2.00,0.00,0.00,0.00,"Classroom Assesment and Intervention in Reading Integrated Reading and Language Arts Grades 3-6 Integrated Reading and Language Arts Grades K-3 Language Arts Instruction"
"Claudia R.",Burgess,3.60,970,2.00,72.00,19.00,7.00,2.00,2.00,"Building Classroom Community Diversity and the Family Diversity and the Self Mathematics Instruction Studies in Elementary Education Teaching Mathematics in Early Childhood Classrooms Teaching Mathematics in Elementary Classrooms"
"Carlotta Gray",Jack,4.00,74,0.00,100.00,0.00,0.00,0.00,0.00,"Science Instruction Social Studies Instruction"
Alexander,"Pope IV",3.74,480,2.00,82.00,12.00,4.00,1.00,2.00,"Diversity and the Community Diversity and the Family School in a Diverse Society Social Studies Instruction Special Topics in Interdisciplinary Studies Teaching Social Studies in Elementary Classrooms Teaching Social Studies in Grades 7-12, Part I Teaching Social Studies in Grades 7-12, Part II"
"Brandy J.",Terrill,3.83,589,1.00,87.00,11.00,2.00,1.00,1.00,"Creative Arts Instruction Language Arts Instruction Literature for Children"
